Ubicacion,Tipo_Propiedad,Consumo_Enero,Consumo_Febrero,Consumo_Marzo,Consumo_Abril,Consumo_Mayo,Consumo_Junio,Pago_Enero,Pago_Febrero,Pago_Marzo,Pago_Abril,Pago_Mayo,Pago_Junio,Facturas_Atrasadas,Inspecciones,Reclamos
2,0,1783,4770,4809,538,1192,2063,250,668,673,75,167,289,2,3,1
0,0,4470,2754,4132,4755,4164,4437,626,386,578,666,583,621,0,2,4
0,1,1587,1113,1733,514,3370,3862,222,156,243,72,472,541,1,4,2
0,1,3814,4883,2508,2089,2966,4665,534,684,351,292,415,653,0,3,2
3,1,1712,922,2393,526,4681,4938,240,129,335,74,655,691,0,1,1
3,0,3499,3752,652,5056,1846,1285,490,525,91,708,258,180,3,4,0
3,1,639,2242,2662,5039,4372,1321,89,314,373,705,612,185,4,1,2
3,1,1587,2549,1813,3281,5358,2404,222,357,254,459,750,337,1,1,2
0,1,5397,4291,1185,2997,1108,2236,756,601,166,420,155,313,0,0,4
3,1,4118,4257,1387,3834,2495,2397,577,596,194,537,349,336,1,0,0
1,1,4070,2163,3099,4811,4859,3684,570,303,434,674,680,516,2,0,4
1,1,5080,4678,4639,3509,4498,4595,711,655,649,491,630,643,2,2,4
3,1,821,4963,3787,5303,4633,1568,115,695,530,742,649,220,3,1,4
3,1,3321,4650,1882,2161,869,2841,465,651,263,303,122,398,4,0,1
2,0,1346,2692,1829,5010,1853,5162,188,377,256,701,259,723,2,4,0
0,0,2717,3888,4198,5397,2445,2500,380,544,588,756,342,350,0,4,0
2,0,4039,1628,2684,3293,1009,3743,565,228,376,461,141,524,4,4,1
1,1,2900,2316,2981,3315,1973,1843,406,324,417,464,276,258,0,4,4
2,1,1087,4392,1949,4104,1690,2511,152,615,273,575,237,352,1,2,3
2,0,3374,2580,1402,1456,5500,3115,472,361,196,204,770,436,3,2,3
3,0,3767,3681,5040,2818,4527,1768,527,515,706,395,634,248,0,2,1
2,0,4036,728,1568,1958,3136,1046,565,102,220,274,439,146,0,1,4
1,1,1657,3842,3281,4466,5000,1794,232,538,459,625,700,251,2,1,4
1,1,4729,4052,5406,4314,2550,1454,662,567,757,604,357,204,1,4,3
2,0,1480,3816,1170,1680,1106,5337,207,534,164,235,155,747,1,3,0
0,0,3239,1121,672,2799,3593,1201,453,157,94,392,503,168,3,0,1
1,1,4811,4916,2867,4366,5032,691,674,688,401,611,704,97,4,3,0
2,0,1840,985,2594,3126,3630,2531,258,138,363,438,508,354,1,3,4
2,1,4818,3656,2051,1493,3039,712,675,512,287,209,425,100,4,3,1
2,0,826,3833,3376,547,4642,832,116,537,473,77,650,116,4,0,4
2,1,3763,1950,3755,5013,4274,2393,527,273,526,702,598,335,4,0,0
3,1,5057,3715,1180,4906,2747,911,708,520,165,687,385,128,4,1,4
1,1,1396,3103,3956,3176,1339,3121,195,434,554,445,187,437,3,3,3
1,0,4186,3522,1998,2686,4004,5180,586,493,280,376,561,725,3,0,2
3,0,4696,1998,1282,2633,3691,1737,657,280,179,369,517,243,1,1,2
3,0,1963,2192,4665,3394,5263,2197,275,307,653,475,737,308,2,1,4
2,0,1549,3639,2289,998,3143,3494,217,509,320,140,440,489,0,0,3
2,1,5174,2631,4269,4449,2165,822,724,368,598,623,303,115,0,1,4
3,0,3635,3343,3525,4011,2934,3797,509,468,494,562,411,532,4,1,1
3,1,628,3039,1338,5233,539,4031,88,425,187,733,75,564,3,3,3
0,1,809,4498,2185,4046,4000,4684,113,630,306,566,560,656,4,4,3
0,1,3062,5380,1683,4824,1975,2322,429,753,236,675,277,325,3,1,0
1,0,4363,1458,4431,1255,3414,3150,611,204,620,176,478,441,3,3,1
3,1,5028,3640,3911,5116,863,2054,704,510,548,716,121,288,0,0,3
3,1,5076,4672,2094,1152,3810,4794,711,654,293,161,533,671,3,1,2
2,0,738,527,4248,4295,3162,2940,103,74,595,601,443,412,0,3,3
2,0,2165,2102,814,2322,2358,1272,303,294,114,325,330,178,0,3,0
0,1,1458,2127,540,1759,4140,1091,204,298,76,246,580,153,4,3,3
3,0,2303,3608,1650,3100,4125,2282,322,505,231,434,578,319,0,2,3
2,0,779,4564,2156,3657,4689,2547,109,639,302,512,656,357,3,0,2
3,1,1839,1506,2246,1003,632,961,257,211,314,140,88,135,2,2,2
2,1,3280,3509,4825,4086,3046,1417,459,491,676,572,426,198,3,3,2
0,0,977,1641,4353,5051,5360,1336,137,230,609,707,750,187,0,3,4
1,1,2628,3015,1875,4446,3505,2466,368,422,263,622,491,345,1,4,3
0,1,720,1613,869,4275,1097,1042,101,226,122,599,154,146,4,1,3
0,0,3025,3454,2958,3485,574,2430,424,484,414,488,80,340,1,1,0
2,1,4178,5254,4064,3061,4815,2229,585,736,569,429,674,312,4,2,1
0,1,3793,4129,4339,4127,2561,2221,531,578,607,578,359,311,2,4,1
2,1,3809,5348,3488,3617,3957,3637,533,749,488,506,554,509,0,0,3
3,1,1295,2236,1773,4141,4341,2611,181,313,248,580,608,366,0,0,0
2,1,4929,1011,2655,2880,2595,5006,690,142,372,403,363,701,0,1,3
2,0,679,1897,2975,4078,5250,1629,95,266,417,571,735,228,1,2,3
3,1,1805,2774,3622,3903,3267,1449,253,388,507,546,457,203,0,2,4
0,1,2938,1469,4337,4832,1411,4033,411,206,607,676,198,565,4,4,1
1,1,2831,5476,1609,4246,4031,5008,396,767,225,594,564,701,3,2,0
0,1,1291,3319,1999,4439,4502,4087,181,465,280,621,630,572,4,2,0
1,0,2336,2433,2625,1716,3674,774,327,341,368,240,514,108,3,3,3
1,0,4373,2817,1286,5116,3277,4816,612,394,180,716,459,674,2,0,0
3,0,4874,3393,4987,3661,1957,1097,682,475,698,513,274,154,3,2,0
0,0,2492,1523,2600,566,1059,1341,349,213,364,79,148,188,2,4,0
0,0,4171,2167,2667,3609,1899,4447,584,303,373,505,266,623,1,1,4
1,0,1958,910,1609,2437,2617,1684,274,127,225,341,366,236,2,1,2
3,0,5477,1929,3318,3993,2467,4318,767,270,465,559,345,605,4,0,4
3,0,1097,4368,3630,1254,3060,1573,154,612,508,176,428,220,4,4,2
2,1,1222,5287,2983,1532,2100,868,171,740,418,214,294,122,2,0,3
3,1,3817,2394,1370,2866,1065,4408,534,335,192,401,149,617,3,2,3
0,1,3971,2957,1897,3033,1169,742,556,414,266,425,164,104,4,2,3
1,0,5028,1646,3799,2643,544,1939,704,230,532,370,76,271,4,0,4
0,1,5118,1071,5052,4957,651,2093,717,150,707,694,91,293,1,3,2
3,0,3705,2529,2594,4894,3525,2904,519,354,363,685,494,407,3,2,4
2,1,863,5167,4247,4695,5246,997,121,723,595,657,734,140,2,4,3
2,0,2570,2464,3355,1724,4128,4357,360,345,470,241,578,610,1,1,3
0,0,4974,2530,3353,1971,4948,2084,696,354,469,276,693,292,1,2,2
1,1,1422,1570,5078,4120,3315,1642,199,220,711,577,464,230,3,1,3
0,0,4167,3607,743,1016,1252,3332,583,505,104,142,175,466,0,4,4
1,0,798,5454,4032,4381,1207,3491,112,764,564,613,169,489,0,2,3
3,0,5373,4972,1600,3689,785,4874,752,696,224,516,110,682,3,4,4
1,0,4573,2785,5299,1949,831,4885,640,390,742,273,116,684,3,4,2
3,0,1632,934,1885,3442,4859,1015,228,131,264,482,680,142,3,4,2
3,1,5468,4065,693,5128,4188,3757,766,569,97,718,586,526,4,4,3
0,0,5001,4531,1407,3012,2114,2610,700,634,197,422,296,365,2,3,1
2,0,2866,3223,749,1142,5000,2991,401,451,105,160,700,419,4,4,2
1,1,3450,4406,1386,1055,3145,3938,483,617,194,148,440,551,3,4,2
2,1,4887,4172,4094,2412,3097,1792,684,584,573,338,434,251,1,3,1
0,1,3566,2129,2989,4202,2257,5264,499,298,418,588,316,737,4,2,3
0,0,4773,1906,4534,3244,1765,5409,668,267,635,454,247,757,4,3,0
2,0,2272,1842,2554,3990,1994,958,318,258,358,559,279,134,4,1,3
0,1,3919,1394,598,2829,5182,1705,549,195,84,396,725,239,4,1,1
1,0,3638,4856,3752,1380,1726,3621,509,680,525,193,242,507,4,4,2
2,0,1832,3177,4744,4887,5161,2333,256,445,664,684,723,327,2,4,0
2,0,2087,1835,3350,2835,4320,2801,292,257,469,397,605,392,4,4,3
0,1,1208,4847,2302,5283,4377,2773,169,679,322,740,613,388,3,2,0
1,0,2236,4215,4338,5408,2463,3943,313,590,607,757,345,552,0,3,1
2,0,5253,3048,4835,4993,1607,1620,735,427,677,699,225,227,4,3,2
2,0,4985,4671,912,5223,4797,3140,698,654,128,731,672,440,2,2,2
1,0,3299,4737,3862,4279,2782,3013,462,663,541,599,389,422,4,0,0
0,0,3099,884,3226,2319,5161,5402,434,124,452,325,723,756,0,1,0
3,0,4774,3923,2845,3389,3960,697,668,549,398,474,554,98,4,4,1
2,1,3142,4800,3738,2765,1073,2638,440,672,523,387,150,369,4,1,4
0,1,5167,2716,5278,4465,1365,2644,723,380,739,625,191,370,0,2,1
0,0,3413,4778,1522,2279,736,1246,478,669,213,319,103,174,4,4,0
2,1,3256,3578,3597,2251,1423,3830,456,501,504,315,199,536,0,0,4
2,0,5068,2174,709,4707,2918,1426,710,304,99,659,409,200,1,3,1
0,0,3796,4703,4390,5179,5219,3874,531,658,615,725,731,542,1,3,3
0,0,2106,3903,5423,2456,2570,727,295,546,759,344,360,102,2,4,4
1,1,4129,1040,1090,3749,1673,3183,578,146,153,525,234,446,2,3,4
1,0,1190,2315,1267,4867,4635,3838,167,324,177,681,649,537,2,4,1
2,1,2814,2898,3851,5105,4371,3960,394,406,539,715,612,554,0,4,4
1,1,3773,4749,5012,3112,2206,4091,528,665,702,436,309,573,1,3,3
2,0,3780,1233,4568,783,4458,2870,529,173,640,110,624,402,4,4,3
0,1,3592,1599,3934,3956,4104,576,503,224,551,554,575,81,3,4,4
1,1,1968,4465,2920,1683,3563,3951,276,625,409,236,499,553,3,4,4
1,1,4914,2962,3097,4067,1833,3564,688,415,434,569,257,499,4,4,1
0,0,3799,3775,686,1378,1106,3246,532,529,96,193,155,454,1,4,3
2,0,1078,5190,3291,5444,4001,673,151,727,461,762,560,94,4,2,4
2,0,4430,1902,4725,2462,715,675,620,266,662,345,100,95,4,4,2
0,1,4808,2800,4930,1982,968,3968,673,392,690,277,136,556,1,0,4
3,0,5332,5091,3328,4943,1657,4186,746,713,466,692,232,586,4,2,3
3,0,3687,3155,1970,696,2727,3466,516,442,276,97,382,485,0,4,0
0,0,2332,2825,3597,4046,4693,3876,326,396,504,566,657,543,2,0,0
1,1,3908,1709,1719,4770,3760,3040,547,239,241,668,526,426,4,1,3
3,0,4854,4440,1901,3092,4833,1232,680,622,266,433,677,172,3,2,3
0,1,914,4938,2301,5204,721,4049,128,691,322,729,101,567,0,3,1
1,0,2095,649,1469,2643,5144,3361,293,91,206,370,720,471,4,4,2
2,1,2414,5412,2483,1386,4246,5147,338,758,348,194,594,721,4,4,1
2,0,1021,3004,3058,5476,1792,756,143,421,428,767,251,106,3,4,4
3,1,3375,515,2396,531,1937,2895,473,72,335,74,271,405,2,2,2
0,1,2112,3464,4228,4965,3636,3928,296,485,592,695,509,550,1,0,1
1,0,3789,2714,1159,2248,1225,5112,530,380,162,315,172,716,3,0,2
2,0,1538,3644,5171,4553,1647,634,215,510,724,637,231,89,4,4,0
0,1,4374,1452,4952,5180,5294,4796,612,203,693,725,741,671,2,1,0
1,0,3588,4808,3148,5491,1213,4083,502,673,441,769,170,572,2,3,2
2,1,957,2444,1947,3134,3781,3377,134,342,273,439,529,473,3,1,2
0,1,2010,2287,3147,2986,5264,776,281,320,441,418,737,109,0,2,0
0,1,4564,2753,534,3647,2123,1551,639,385,75,511,297,217,3,2,3
2,1,1564,4232,5379,1767,5124,592,219,592,753,247,717,83,1,4,4
3,1,2033,5097,2283,5482,2991,1753,285,714,320,767,419,245,0,4,2
1,1,1266,2317,3270,838,4872,1095,177,324,458,117,682,153,4,4,1
2,0,5224,4955,3976,2575,4967,506,731,694,557,361,695,71,1,3,2
2,0,1894,1676,2869,2848,5186,4288,265,235,402,399,726,600,3,2,0
2,0,3752,4398,2337,4135,690,2345,525,616,327,579,97,328,0,4,2
1,1,4920,5278,2460,1087,3362,4308,689,739,344,152,471,603,1,3,1
1,0,2312,4313,4034,1922,4713,5291,324,604,565,269,660,741,3,3,2
2,1,2177,2665,2984,1586,5154,3014,305,373,418,222,722,422,4,2,2
1,0,5406,4129,3919,3366,4723,4296,757,578,549,471,661,601,1,4,0
0,1,3431,4645,585,3526,2827,4692,480,650,82,494,396,657,1,3,0
0,1,577,3904,4045,3357,1060,2912,81,547,566,470,148,408,2,2,1
0,0,2556,1309,850,1321,1276,4041,358,183,119,185,179,566,0,3,2
1,1,5208,1000,3954,555,2464,3261,729,140,554,78,345,457,4,0,4
1,0,2112,1975,4525,4896,1568,778,296,277,634,685,220,109,0,1,1
2,1,3777,4129,1071,1407,1896,2689,529,578,150,197,265,376,2,0,3
0,1,2124,673,1479,1892,742,1974,297,94,207,265,104,276,0,4,0
1,1,2395,2423,1295,2741,4150,1553,335,339,181,384,581,217,0,2,2
0,0,2370,2398,1779,5172,2495,1090,332,336,249,724,349,153,0,3,1
0,0,2961,2922,3404,5151,5481,4193,415,409,477,721,767,587,0,1,0
3,1,3065,2497,4272,4553,1664,3286,429,350,598,637,233,460,2,2,1
0,0,4970,1708,851,5113,2084,3284,696,239,119,716,292,460,1,1,0
2,1,1472,2665,3918,5061,2578,1025,206,373,549,709,361,144,4,3,1
1,0,1406,4260,2885,4909,5033,3565,197,596,404,687,705,499,4,1,0
3,0,3925,2909,5060,4197,4533,4022,550,407,708,588,635,563,1,3,2
3,0,1445,546,1464,5205,1570,2975,202,76,205,729,220,417,3,0,0
2,1,3121,5339,4270,3433,2579,2917,437,747,598,481,361,408,2,0,4
2,0,3483,2901,3392,3752,4557,2502,488,406,475,525,638,350,1,1,1
0,0,1971,5286,3470,694,717,1259,276,740,486,97,100,176,1,0,1
0,0,3150,1946,2030,3097,2497,2342,441,272,284,434,350,328,2,0,1
2,0,2403,653,1495,4096,1033,5067,336,91,209,573,145,709,1,0,4
3,0,3557,3835,1543,2549,4787,1649,498,537,216,357,670,231,4,0,1
3,0,1363,4251,1762,4769,4133,3895,191,595,247,668,579,545,4,0,4
2,1,4657,500,4121,653,1488,2180,652,70,577,91,208,305,4,0,4
3,0,3734,3553,5442,785,2468,5103,523,497,762,110,346,714,3,2,2
0,0,3499,1889,2318,2630,870,3044,490,264,325,368,122,426,4,1,4
2,1,3952,1872,2771,1193,3329,4049,553,262,388,167,466,567,2,3,1
2,1,2215,5097,4522,3135,3103,2580,310,714,633,439,434,361,4,4,0
3,1,5082,2133,4460,549,1490,3081,711,299,624,77,209,431,3,3,4
0,1,1149,1389,1110,3016,2903,2431,161,194,155,422,406,340,3,3,4
3,0,3254,4536,2451,509,2544,1135,456,635,343,71,356,159,1,3,4
2,0,4412,3424,4364,2367,5203,2879,618,479,611,331,728,403,1,3,1
3,1,1831,3302,3169,2503,3098,2624,256,462,444,350,434,367,2,1,4
3,0,5354,2114,4661,3585,3980,3715,750,296,653,502,557,520,0,4,2
1,1,5312,4987,2931,3836,5405,1299,744,698,410,537,757,182,4,3,1
3,0,3054,5006,2760,5290,1636,1931,428,701,386,741,229,270,0,1,1
3,0,1512,2702,3680,4923,791,1933,212,378,515,689,111,271,1,3,2
1,0,933,639,3201,696,678,3354,131,89,448,97,95,470,3,1,4
0,0,5083,1492,953,4896,4425,2758,712,209,133,685,620,386,3,1,4
2,1,3305,4409,1148,4462,2906,4812,463,617,161,625,407,674,3,4,3
1,0,3674,1578,912,894,4835,3881,514,221,128,125,677,543,2,4,2
1,0,2013,1197,3952,4391,3747,564,282,168,553,615,525,79,1,1,2
2,1,4419,1851,1567,1724,4184,2512,619,259,219,241,586,352,2,4,1
2,1,4768,2154,2718,2699,3752,1142,668,302,381,378,525,160,1,0,2
0,0,642,562,2449,5365,2859,3590,90,79,343,751,400,503,4,3,2
2,1,4649,3424,2306,820,4523,691,651,479,323,115,633,97,2,4,0
0,0,1877,1063,771,1347,3328,1256,263,149,108,189,466,176,0,1,2
0,0,5135,1447,5030,537,802,4664,719,203,704,75,112,653,1,0,1
2,0,769,3103,3023,3276,5170,5168,108,434,423,459,724,724,3,0,4
1,0,2566,3321,1467,3256,3869,4490,359,465,205,456,542,629,0,0,4
0,0,1646,2066,4414,3079,4898,3196,230,289,618,431,686,447,2,2,3
0,1,2559,923,2576,4762,2879,904,358,129,361,667,403,127,0,1,1
1,1,5276,3428,2479,4406,4755,4336,739,480,347,617,666,607,4,0,4
1,1,2212,3554,5177,588,3459,2766,310,498,725,82,484,387,3,3,0
1,1,507,2726,5142,1807,4331,2085,71,382,720,253,606,292,0,3,1
0,1,1939,1148,1203,3792,4171,580,271,161,168,531,584,81,4,0,1
3,0,4227,1781,4545,1260,5311,3031,592,249,636,176,744,424,0,1,1
2,1,554,2945,3832,4599,1440,3780,78,412,536,644,202,529,0,3,1
3,1,4536,1759,2297,3233,3998,4055,635,246,322,453,560,568,4,4,1
2,0,4749,3393,5291,3592,3984,3811,665,475,741,503,558,534,2,2,2
1,0,2346,2594,3587,2669,2186,4637,328,363,502,374,306,649,1,2,2
1,0,1768,2714,1300,625,3386,1919,248,380,182,88,474,269,4,0,0
3,0,3979,4106,534,1316,4971,3165,557,575,75,184,696,443,0,0,2
2,1,4015,3500,5230,4351,1826,3694,562,490,732,609,256,517,3,2,4
3,0,3306,5224,2634,5079,4725,3684,463,731,369,711,662,516,3,2,0
2,1,1669,519,606,5465,3779,3023,234,73,85,765,529,423,1,0,2
1,1,3017,3138,3078,3156,4718,5216,422,439,431,442,661,730,1,3,3
1,0,4786,4721,2939,4114,2871,3785,670,661,411,576,402,530,0,0,3
0,1,4688,4140,1947,3519,3363,1881,656,580,273,493,471,263,3,0,0
2,0,980,2690,3596,5199,1202,4516,137,377,503,728,168,632,3,3,2
2,1,2934,1306,1827,5223,3573,4423,411,183,256,731,500,619,4,4,0
2,1,701,1270,5074,1538,2462,1107,98,178,710,215,345,155,0,3,3
3,1,684,2213,4629,3665,2377,4588,96,310,648,513,333,642,2,2,4
1,0,1578,3681,3410,4427,5107,2923,221,515,477,620,715,409,4,0,2
1,0,4263,5399,3671,1769,2976,1253,597,756,514,248,417,175,3,1,1
1,0,1666,2343,1571,2596,2782,5497,233,328,220,363,389,770,3,4,4
3,1,1268,1388,1982,5304,4660,4312,178,194,277,743,652,604,0,0,4
1,1,4971,3719,2093,4407,3675,4216,696,521,293,617,515,590,4,3,0
2,0,2101,706,5349,586,2614,4469,294,99,749,82,366,626,1,2,2
3,1,5288,3642,715,3609,2559,5394,740,510,100,505,358,755,3,1,2
1,0,4480,875,3454,3338,1053,4747,627,123,484,467,147,665,1,2,1
2,1,2852,1261,927,3197,3636,4179,399,177,130,448,509,585,0,0,2
3,0,3409,1043,882,3631,3289,2574,477,146,123,508,460,360,1,1,0
2,0,1686,2972,3761,2734,3146,4719,236,416,527,383,440,661,0,4,0
0,0,2923,2430,5478,691,1432,858,409,340,767,97,200,120,2,3,1
3,1,3700,2604,4284,3246,5125,4415,518,365,600,454,718,618,3,3,4
2,1,4780,2779,625,2445,1396,5330,669,389,88,342,195,746,0,4,4
0,1,3474,2659,1920,1364,2092,1046,486,372,269,191,293,146,3,1,4
0,0,4317,3219,5183,4500,2430,5208,604,451,726,630,340,729,2,0,4
2,1,1714,5015,1412,1200,3220,736,240,702,198,168,451,103,1,2,0
3,1,2879,1138,2985,5044,2685,826,403,159,418,706,376,116,3,3,1
2,1,1270,2487,2069,2368,2720,706,178,348,290,332,381,99,4,4,0
3,0,4733,5297,562,4329,920,4054,663,742,79,606,129,568,2,3,1
1,0,3168,4824,778,4270,2454,5045,444,675,109,598,344,706,2,2,2
0,1,2559,2943,5172,620,4453,3240,358,412,724,87,623,454,1,0,3
0,0,1570,5384,3837,3131,872,3194,220,754,537,438,122,447,2,4,1
2,0,1470,842,1889,1354,4249,4029,206,118,264,190,595,564,4,4,0
0,0,2674,4812,4379,4863,4189,865,374,674,613,681,586,121,1,1,4
2,0,5442,4690,5325,4876,2680,576,762,657,746,683,375,81,2,0,3
2,0,4382,3803,3991,5099,4099,2741,613,532,559,714,574,384,3,0,4
3,0,2664,5491,1513,5083,3625,2712,373,769,212,712,508,380,0,4,2
3,1,4427,2589,4918,4671,2616,1068,620,362,689,654,366,150,3,0,3
3,1,5189,1834,4436,2606,3571,1876,726,257,621,365,500,263,2,3,3
0,1,4532,1011,2942,3204,3260,3466,634,142,412,449,456,485,3,2,2
2,0,1112,3792,4802,2160,4866,1298,156,531,672,302,681,182,2,0,4
0,0,5468,4489,3777,2727,4234,1558,766,628,529,382,593,218,0,4,0
0,0,3963,5273,1146,2158,994,4278,555,738,160,302,139,599,3,3,2
3,1,2833,969,2985,4733,3532,775,397,136,418,663,494,109,3,4,2
2,0,4619,3621,3302,4948,563,3579,647,507,462,693,79,501,1,2,1
1,1,3939,4375,1741,3698,1022,1195,551,613,244,518,143,167,1,3,2
2,1,1449,2074,3831,2174,4339,2995,203,290,536,304,607,419,4,3,3
1,1,2384,1754,3111,3567,2738,2660,334,246,436,499,383,372,2,3,3
2,0,4054,1241,1418,5448,604,1435,568,174,199,763,85,201,3,3,2
0,0,3736,5350,2764,2331,4353,1185,523,749,387,326,609,166,4,1,2
0,0,1294,2246,2015,5185,3777,3502,181,314,282,726,529,490,0,4,3
0,0,3521,3174,3978,852,5363,2880,493,444,557,119,751,403,2,1,2
2,1,1813,3463,548,4106,3947,4136,254,485,77,575,553,579,0,0,1
2,0,4004,4173,3471,3846,3058,2538,561,584,486,538,428,355,2,4,1
0,1,4001,3821,3897,2849,3349,2857,560,535,546,399,469,400,3,4,1
3,1,2204,5038,3892,2300,3134,5070,309,705,545,322,439,710,2,4,1
2,1,5066,3285,1979,521,4647,3173,709,460,277,73,651,444,3,2,2
2,1,3215,681,3082,3167,1570,1465,450,95,431,443,220,205,0,2,1
3,1,4512,3903,604,1913,1629,1704,632,546,85,268,228,239,0,1,4
2,0,4464,5305,4229,536,3017,3100,625,743,592,75,422,434,1,1,2
0,0,1695,2545,3724,4459,4558,2483,237,356,521,624,638,348,1,1,2
2,0,4792,1094,3528,2232,975,1948,671,153,494,312,137,273,4,2,3
1,1,774,4059,2081,1560,4432,5064,108,568,291,218,620,709,1,2,2
2,0,4214,4489,5366,4686,1891,4773,590,628,751,656,265,668,3,4,4
0,1,807,5300,5120,1189,913,1036,113,742,717,166,128,145,0,4,2
1,1,1930,4723,2453,1824,915,2179,270,661,343,255,128,305,2,3,4
1,1,4386,1494,5409,3652,2650,1876,614,209,757,511,371,263,2,3,3
1,0,2781,4821,1643,1713,2857,1904,389,675,230,240,400,267,0,1,3
2,0,2810,3872,3472,1910,1985,5386,393,542,486,267,278,754,0,0,0
1,0,2114,1623,1960,565,1349,4857,296,227,274,79,189,680,0,3,3
3,0,4483,1543,4237,4268,1243,2731,628,216,593,598,174,382,3,0,1
0,0,1869,2653,5089,5329,2222,4357,262,371,712,746,311,610,2,0,4
3,1,4959,1663,3919,4703,4125,4017,694,233,549,658,578,562,0,0,1
2,1,4011,2508,1744,3958,4841,3251,562,351,244,554,678,455,2,4,3
2,0,595,1825,1407,2931,4908,5393,83,256,197,410,687,755,0,1,0
3,0,3015,3629,4303,1656,3326,2958,422,508,602,232,466,414,2,0,2
0,0,2202,3655,3709,2150,4568,2417,308,512,519,301,640,338,2,0,4
0,0,4364,4347,2705,4045,4944,2165,611,609,379,566,692,303,2,0,0
3,1,529,636,2477,2505,4752,4066,74,89,347,351,665,569,2,0,1
1,0,4183,4629,1223,2775,3667,3418,586,648,171,389,513,479,4,2,2
2,0,2966,1301,1309,4846,667,2283,415,182,183,678,93,320,3,0,1
2,0,3982,2591,2915,3974,4106,3536,557,363,408,556,575,495,1,2,4
2,1,711,2019,3079,824,4963,1324,100,283,431,115,695,185,0,2,0
1,1,4076,1277,2584,2367,3848,1294,571,179,362,331,539,181,2,3,0
3,1,2821,4787,3472,3205,563,2299,395,670,486,449,79,322,4,0,4
3,1,3871,5408,4160,2674,4801,3387,542,757,582,374,672,474,1,4,0
2,1,3355,2346,3030,3902,1086,5401,470,328,424,546,152,756,0,0,4
2,0,1801,2155,894,4164,5138,3514,252,302,125,583,719,492,0,0,0
2,1,1668,3037,1140,599,4403,722,234,425,160,84,616,101,1,1,3
3,0,791,3220,2009,1253,5152,937,111,451,281,175,721,131,1,3,3
2,0,2961,1922,1159,2690,2294,901,415,269,162,377,321,126,1,2,1
2,1,5349,2750,500,2129,3509,4125,749,385,70,298,491,578,3,0,3
0,1,4184,1838,5054,3307,1411,1180,586,257,708,463,198,165,0,1,2
1,1,2442,1309,1924,2731,612,3925,342,183,269,382,86,550,0,3,2
1,0,3248,857,1848,5444,4425,4723,455,120,259,762,620,661,1,1,3
3,0,4086,4655,3753,5436,5068,3210,572,652,525,761,710,449,4,3,4
2,1,4040,2355,4858,2881,2009,4136,566,330,680,403,281,579,1,1,1
2,1,5082,4418,4127,2492,577,2559,711,619,578,349,81,358,1,3,4
3,0,5144,2309,3720,2196,5359,1678,720,323,521,307,750,235,3,1,1
1,0,3304,2970,1322,5336,576,2950,463,416,185,747,81,413,3,1,0
0,0,5244,1839,4818,1228,4827,3960,734,257,675,172,676,554,1,4,2
3,0,1048,2750,2272,1908,4608,1762,147,385,318,267,645,247,0,0,3
0,0,2583,786,4147,2233,4001,4756,362,110,581,313,560,666,1,1,2
1,0,4986,562,3769,1360,3490,4736,698,79,528,190,489,663,1,2,4
3,0,4831,2670,4108,2663,1499,3002,676,374,575,373,210,420,0,3,4
2,0,646,4546,3668,2212,5050,1595,90,636,514,310,707,223,1,4,3
0,0,4842,2486,4022,2833,2659,5353,678,348,563,397,372,749,2,0,4
3,0,2558,5131,3160,4223,2397,2103,358,718,442,591,336,294,3,0,2
0,0,1355,5238,2734,2870,2752,2226,190,733,383,402,385,312,1,0,1
3,1,2343,4154,1012,3395,1915,3795,328,582,142,475,268,531,3,0,1
0,0,1084,3537,3094,1082,2958,5093,152,495,433,151,414,713,4,2,4
1,0,1410,1346,5369,2836,1014,2264,197,188,752,397,142,317,0,2,2
3,0,965,3997,1213,4700,3574,1104,135,560,170,658,500,155,0,0,0
2,0,1528,3583,4037,4268,5403,3790,214,502,565,598,756,531,0,3,2
1,1,3913,4290,512,4221,4134,5351,548,601,72,591,579,749,2,4,3
3,0,525,1063,1733,1360,1482,4918,74,149,243,190,207,689,4,4,4
0,1,1526,4230,5355,1661,3821,1625,214,592,750,233,535,228,2,3,0
2,1,3008,3527,1989,5444,4066,2588,421,494,278,762,569,362,0,3,4
3,1,5228,3026,3943,2334,591,556,732,424,552,327,83,78,0,1,1
2,0,1232,887,5406,3001,610,3141,172,124,757,420,85,440,1,0,1
0,1,2351,2972,4134,4842,2138,3441,329,416,579,678,299,482,0,4,4
1,1,4360,2069,3158,958,2408,2559,610,290,442,134,337,358,3,0,2
0,1,596,2475,4443,689,1658,3268,83,347,622,96,232,458,0,4,4
1,1,996,659,2326,2932,1622,2812,139,92,326,410,227,394,0,1,1
3,0,3847,1094,4173,2370,4495,1349,539,153,584,332,629,189,3,2,0
3,0,1553,858,1713,2317,3289,797,217,120,240,324,460,112,4,1,4
0,0,4709,2647,889,976,5155,2284,659,371,124,137,722,320,1,3,3
2,0,1405,2338,1120,3773,1549,5129,197,327,157,528,217,718,2,3,3
3,0,971,4046,4100,1325,4832,3190,136,566,574,186,676,447,4,0,0
0,0,3120,1827,5287,3172,592,1582,437,256,740,444,83,221,4,4,1
1,0,1263,5395,1590,1278,3797,4894,177,755,223,179,532,685,0,1,1
3,1,4481,3718,4953,5179,2897,4658,627,521,693,725,406,652,2,1,2
